# of Units,Incident Alarm Time,Problem Type,Location,Location Type
1,01/21/2018 21:38:13,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,01/21/2018 21:44:58,"EMS call, excluding vehicle accident with injury",228 W Sierra CIR ,1 or 2 family dwelling
1,01/21/2018 23:12:15,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,01/22/2018 0:05:36,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,01/22/2018 1:50:40,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,01/22/2018 2:54:23,"EMS call, excluding vehicle accident with injury",111 E Mimosa CIR ,1 or 2 family dwelling
1,01/22/2018 5:50:47,"EMS call, excluding vehicle accident with injury",1402  Hamilton AVE ,1 or 2 family dwelling
1,01/22/2018 6:59:58,Vehicle accident with injuries,  Sherbarb ST ,"Residential street, road or residential driveway"
1,01/22/2018 8:44:44,Oil or other combustible liquid spill,  Wonder World DR ,Vehicle parking area
1,01/22/2018 10:20:15,"EMS call, excluding vehicle accident with injury",1012  Cheatham ST ,1 or 2 family dwelling
2,01/22/2018 11:27:33,"EMS call, excluding vehicle accident with injury",442  Stagecoach TRL ,1 or 2 family dwelling
1,01/22/2018 12:03:58,Dispatched & cancelled en route,1105 N IH 35  ,"Food and beverage sales, grocery store"
1,01/22/2018 12:40:14,"Medical assist, assist EMS crew",155  Wonder World DR ,"Clinic, clinic-type infirmary"
1,01/22/2018 13:02:30,"EMS call, excluding vehicle accident with injury",1951  Aquarena Springs DR ,Multifamily dwellings
1,01/22/2018 13:03:41,"Unintentional transmission of alarm, other",2601  Rattler RD ,High school/junior high school/middle school
1,01/22/2018 13:05:36,Dispatched & cancelled en route,211 W San Antonio ST ,Vehicle parking area
2,01/22/2018 13:18:33,No incident found on arrival at dispatch address,1000  River RD ,"Residential street, road or residential driveway"
1,01/22/2018 14:07:45,Gas leak (natural gas or LPG),  Los Santos DR ,Graded and cared-for plots of land
1,01/22/2018 15:28:36,No incident found on arrival at dispatch address,  Perkins ST ,"Residential street, road or residential driveway"
1,01/22/2018 16:17:36,No incident found on arrival at dispatch address,2319 S IH 35  ,"Parking garage, general vehicle"
1,01/22/2018 20:56:03,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,01/22/2018 23:43:29,"EMS call, excluding vehicle accident with injury",817  Chestnut ST ,Multifamily dwellings
1,01/23/2018 3:42:30,"Person in distress, other",624  Dancing Oak LN ,1 or 2 family dwelling
3,01/23/2018 10:19:15,Vehicle accident with injuries,  Hwy 21  ,Highway or divided highway
1,01/23/2018 12:29:41,Vehicle accident with injuries, N Guadalupe ST ,Street or road in commercial area
2,01/23/2018 12:31:58,Gasoline or other flammable liquid spill,170  Charles Austin DR ,Vehicle parking area
1,01/23/2018 13:16:13,No incident found on arrival at dispatch address,1401 E McCarty LN ,Vehicle parking area
4,01/23/2018 13:51:58,Grass fire,600  Staples RD ,Graded and cared-for plots of land
2,01/23/2018 14:15:34,Motor vehicle accident with no injuries,1200 N Bishop ST ,Vehicle parking area
1,01/23/2018 16:51:52,"EMS call, excluding vehicle accident with injury",1100  Earle ST ,1 or 2 family dwelling
3,01/23/2018 17:01:58,Gasoline or other flammable liquid spill,1015  Hwy 80  ,"General retail, other"
4,01/23/2018 17:40:17,Grass fire,3877  Hwy 21  ,1 or 2 family dwelling
1,01/23/2018 19:28:27,Removal of victim(s) from stalled elevator,401 N Fredericksburg ST ,Multifamily dwellings
1,01/23/2018 22:50:32,"EMS call, excluding vehicle accident with injury",1611  Mockingbird DR ,1 or 2 family dwelling
2,01/23/2018 23:11:39,"Electrical  wiring/equipment problem, other",650  River RD ,Multifamily dwellings
0,01/24/2018 0:44:37,Overheated motor,199  NB  ,Highway or divided highway
1,01/24/2018 4:04:10,"EMS call, excluding vehicle accident with injury",228  Rail Head RD ,1 or 2 family dwelling
1,01/24/2018 6:27:03,"Medical assist, assist EMS crew",1610 N IH 35  ,Multifamily dwellings
1,01/24/2018 10:55:25,"Medical assist, assist EMS crew",1437  Post RD ,"Elementary school, including kindergarten"
2,01/24/2018 13:01:05,Overheated motor,2005  Technology WAY ,"Manufacturing, processing"
1,01/24/2018 13:22:29,"EMS call, excluding vehicle accident with injury",1150 E River Ridge PKWY ,Multifamily dwellings
1,01/24/2018 16:58:58,"Medical assist, assist EMS crew",1241 W Hopkins ST ,1 or 2 family dwelling
3,01/24/2018 17:52:35,Vehicle accident with injuries,105 N IH 35  ,Highway or divided highway
0,01/24/2018 17:59:07,"EMS call, excluding vehicle accident with injury",624  Dancing Oak LN ,1 or 2 family dwelling
6,01/24/2018 18:10:23,Outside storage fire,409  Armstrong ST ,Vacant lot
1,01/24/2018 19:53:21,"Smoke scare, odor of smoke",  Bliss LN ,"Residential street, road or residential driveway"
1,01/25/2018 4:08:04,"EMS call, excluding vehicle accident with injury",1911  Old Ranch Road 12  ,1 or 2 family dwelling
1,01/25/2018 6:59:29,"EMS call, excluding vehicle accident with injury",646  Foxtail RUN ,1 or 2 family dwelling
2,01/25/2018 11:18:15,"EMS call, excluding vehicle accident with injury",1560 S IH 35  ,"Hotel/motel, commercial"
1,01/25/2018 11:43:55,"EMS call, excluding vehicle accident with injury",712 N Comanche ST ,"Adult education center, college classroom"
1,01/25/2018 11:54:08,"EMS call, excluding vehicle accident with injury",2213 S IH 35  ,"Eating, drinking places"
1,01/25/2018 12:24:58,Hazmat release investigation w/ no hazmat,221 N C M Allen PKWY ,Street or road in commercial area
1,01/25/2018 12:28:58,No incident found on arrival at dispatch address,1300  Wonder World DR ,Street or road in commercial area
1,01/25/2018 12:41:28,No incident found on arrival at dispatch address, N Bishop ST ,"Residential street, road or residential driveway"
1,01/25/2018 13:22:20,"EMS call, excluding vehicle accident with injury",1180  Thorpe LN ,"Ballroom, gymnasium"
1,01/25/2018 16:03:03,"EMS call, excluding vehicle accident with injury",1250  Sadler DR ,Multifamily dwellings
1,01/25/2018 17:00:56,No incident found on arrival at dispatch address,1980  Aquarena Springs DR ,Multifamily dwellings
0,01/25/2018 17:51:21,"EMS call, excluding vehicle accident with injury",503  Uhland RD ,1 or 2 family dwelling
0,01/26/2018 8:43:27,Vehicle accident with injuries,  Ranch Road 12  ,Highway or divided highway
2,01/26/2018 12:06:30,"Medical assist, assist EMS crew",300 S Stagecoach TRL ,Multifamily dwellings
2,01/26/2018 15:37:11,Dispatched & cancelled en route,200  SB  ,Highway or divided highway
1,01/26/2018 15:55:53,Dispatched & cancelled en route,124 W Hopkins ST ,"Recreational, hobby, home repair sales, pet store"
1,01/26/2018 17:33:33,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,01/26/2018 17:46:46,"Alarm system sounded, no fire - unintentional",1019  Hwy 80  ,Specialty shop
0,01/26/2018 20:28:42,Motor vehicle/pedestrian accident (MV Ped),100  Llano CIR ,"Street, other"
1,01/26/2018 21:14:47,Motor vehicle accident with no injuries,1101 E River Ridge PKWY ,Street or road in commercial area
1,01/26/2018 22:05:27,"Medical assist, assist EMS crew",1015  Hwy 80  ,"General retail, other"
1,01/26/2018 22:34:50,Motor vehicle accident with no injuries,  Hughson CT ,"Residential street, road or residential driveway"
1,01/26/2018 22:55:37,"System malfunction, other",1942 S IH 35  ,"Manufacturing, processing"
1,01/26/2018 23:34:51,Dispatched & cancelled en route,126 S Guadalupe ST ,Bar or nightclub
2,01/27/2018 2:07:27,Motor vehicle accident with no injuries,201  SB  ,Highway or divided highway
1,01/27/2018 6:17:38,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
6,01/27/2018 7:58:27,Building fire,409  Armstrong ST ,1 or 2 family dwelling
1,01/27/2018 12:37:58,"Smoke scare, odor of smoke",  Harvard ST ,1 or 2 family dwelling
2,01/27/2018 13:34:15,Dispatched & cancelled en route,1506 S IH 35  ,Multifamily dwellings
2,01/27/2018 13:45:54,"EMS call, excluding vehicle accident with injury",426  Linda DR ,1 or 2 family dwelling
6,01/27/2018 14:26:37,"Fuel burner/boiler malfunction, fire confined",700  Moore ST ,"Eating, drinking places"
1,01/27/2018 19:55:19,"Medical assist, assist EMS crew",2008  Lancaster ST ,1 or 2 family dwelling
1,01/28/2018 12:54:09,"EMS call, excluding vehicle accident with injury",1818  Old Ranch Road 12  ,Multifamily dwellings
4,01/28/2018 14:42:15,Vehicle accident with injuries,1901 N IH 35  ,Highway or divided highway
2,01/28/2018 16:35:36,Dispatched & cancelled en route,205  NB  ,Highway or divided highway
2,01/28/2018 17:08:49,Vehicle accident with injuries,1700  Hwy 123  ,Highway or divided highway
1,01/28/2018 18:46:48,"EMS call, excluding vehicle accident with injury",1022  Haynes ST ,1 or 2 family dwelling
1,01/28/2018 19:25:29,"Medical assist, assist EMS crew",2913  Hunter RD ,Multifamily dwellings
1,01/28/2018 19:47:06,Unauthorized burning,  Craddock AVE ,1 or 2 family dwelling
1,01/28/2018 21:48:33,"EMS call, excluding vehicle accident with injury",1301 N Bishop ST ,1 or 2 family dwelling
1,01/29/2018 2:08:11,"EMS call, excluding vehicle accident with injury",2018  Stonehaven  ,1 or 2 family dwelling
1,01/29/2018 10:20:22,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,01/29/2018 10:54:42,"EMS call, excluding vehicle accident with injury",1616  Lancaster ST ,1 or 2 family dwelling
0,01/29/2018 11:34:34,"EMS call, excluding vehicle accident with injury",608 N Edward Gary ST ,Restaurant or cafeteria
5,01/29/2018 14:06:19,No incident found on arrival at dispatch address,1441  Leah AVE ,Multifamily dwellings
2,01/29/2018 15:31:51,No incident found on arrival at dispatch address,  Del Sol DR ,"Residential street, road or residential driveway"
1,01/29/2018 15:36:27,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,Hemodialysis unit
3,01/29/2018 15:43:51,"Brush, or brush and grass mixture fire",  Francis Harris LN ,Crops or orchard
1,01/29/2018 22:26:24,"Hazardous condition, other",1700  Hwy 21  ,Highway or divided highway
1,01/30/2018 1:00:25,"Medical assist, assist EMS crew",2990 S IH 35 DR ,Highway or divided highway
1,01/30/2018 5:46:58,"Medical assist, assist EMS crew",300 S Stagecoach TRL ,Multifamily dwellings
1,01/30/2018 7:33:57,Gas leak (natural gas or LPG),  Hwy 21  ,"Gas distribution, pipeline, gas distribution"
1,01/30/2018 8:16:42,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,Multifamily dwellings
1,01/30/2018 9:56:27,"EMS call, excluding vehicle accident with injury",1101  Leah AVE ,Multifamily dwellings
1,01/30/2018 10:20:59,"Medical assist, assist EMS crew",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
3,01/30/2018 15:05:04,Grass fire,321  Bridlewood DR ,Graded and cared-for plots of land
3,01/30/2018 15:20:28,Grass fire,  Fm 2325  ,"Street, other"
1,01/30/2018 20:43:50,"EMS call, excluding vehicle accident with injury",305  Parker DR ,1 or 2 family dwelling
1,01/31/2018 0:48:16,"EMS call, excluding vehicle accident with injury",1137  Hilltop DR ,1 or 2 family dwelling
0,01/31/2018 1:18:00,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,01/31/2018 2:25:29,"EMS call, excluding vehicle accident with injury",1410  Marlton ST ,Multifamily dwellings
5,01/31/2018 4:39:31,Vehicle accident with injuries,208 W Access RD ,Highway or divided highway
2,01/31/2018 9:24:52,"EMS call, excluding vehicle accident with injury",618 W Hutchison ST ,Mental retardation/development disability facility
1,01/31/2018 9:35:26,"Unintentional transmission of alarm, other",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,01/31/2018 10:22:44,Vehicle accident with injuries,  Hwy 80  ,Highway or divided highway
1,01/31/2018 11:41:06,Gas leak (natural gas or LPG),522  Silo ST ,1 or 2 family dwelling
1,01/31/2018 12:23:15,"EMS call, excluding vehicle accident with injury",712 N Comanche ST ,"Adult education center, college classroom"
2,01/31/2018 12:35:41,Dispatched & cancelled en route,  Yarrington RD ,Highway or divided highway
1,01/31/2018 12:38:02,Gas leak (natural gas or LPG),1301  Wonder World DR ,Graded and cared-for plots of land
2,01/31/2018 13:52:56,"EMS call, excluding vehicle accident with injury",1103  Hwy 80  ,Highway or divided highway
2,01/31/2018 16:33:29,"EMS call, excluding vehicle accident with injury",405  Faris ST ,1 or 2 family dwelling
2,01/31/2018 16:50:23,"Good intent call, other",203  NB  ,Highway or divided highway
2,01/31/2018 16:58:35,"EMS call, excluding vehicle accident with injury",1214 S IH 35  ,"Service station, gas station"
2,01/31/2018 17:02:45,Dispatched & cancelled en route,  EXIT 201 SB  ,Highway or divided highway
2,01/31/2018 17:12:23,"Good intent call, other",204  NB  ,Highway or divided highway
2,01/31/2018 19:24:11,Motor vehicle accident with no injuries,201  SB  ,Highway or divided highway
1,01/31/2018 19:59:23,"Smoke detector activation, no fire - unintentional",737  Foxtail RUN ,1 or 2 family dwelling
1,01/31/2018 20:13:49,"EMS call, excluding vehicle accident with injury",1025  Field ST ,1 or 2 family dwelling
1,01/31/2018 22:56:53,"EMS call, excluding vehicle accident with injury",1201  Thorpe LN ,1 or 2 family dwelling
1,02/01/2018 9:16:57,"EMS call, excluding vehicle accident with injury",1100  Aquarena Springs DR ,Vehicle parking area
1,02/01/2018 10:03:06,Lock-out,612  Chicago ST ,1 or 2 family dwelling
1,02/01/2018 10:17:09,Unauthorized burning,2000  Old Ranch Road 12  ,1 or 2 family dwelling
1,02/01/2018 10:26:05,"EMS call, excluding vehicle accident with injury",209 N IH 35  ,Vehicle parking area
4,02/01/2018 10:47:18,Extrication of victim(s) from building/structure,  Post RD ,Construction site
1,02/01/2018 11:10:27,"Vehicle accident, general cleanup",  Clarewood DR ,Highway or divided highway
1,02/01/2018 12:09:37,"EMS call, excluding vehicle accident with injury",1804  Lancaster ST ,1 or 2 family dwelling
1,02/01/2018 12:44:59,Gas leak (natural gas or LPG),133  Tallow TRL ,1 or 2 family dwelling
1,02/01/2018 14:26:53,"EMS call, excluding vehicle accident with injury",200  Cheatham ST ,Vehicle parking area
1,02/01/2018 14:44:19,"EMS call, excluding vehicle accident with injury",626 N Lbj DR ,"Adult education center, college classroom"
1,02/01/2018 15:04:01,"Medical assist, assist EMS crew",941  Barnes DR ,Construction site
1,02/01/2018 16:44:37,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
3,02/01/2018 16:48:44,Assist police or other governmental agency,202  SB  ,Highway or divided highway
3,02/01/2018 17:08:39,No incident found on arrival at dispatch address,1807  Airport DR ,Aircraft runway
2,02/01/2018 18:48:55,Motor vehicle accident with no injuries,  Wonder World DR ,Street or road in commercial area
1,02/01/2018 19:07:41,"Smoke scare, odor of smoke",1640  Aquarena Springs DR ,Multifamily dwellings
1,02/01/2018 21:26:20,"EMS call, excluding vehicle accident with injury",103  Canyon RD ,1 or 2 family dwelling
3,02/02/2018 3:12:25,Hazmat release investigation w/ no hazmat,831  Sagewood TRL ,Multifamily dwellings
1,02/02/2018 11:50:43,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,"Clinics, Doctors offices, hemodialysis centers"
3,02/02/2018 12:09:21,Motor vehicle accident with no injuries,204  Sb35 IH ,Highway or divided highway
1,02/02/2018 15:43:23,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,02/02/2018 16:13:32,Motor vehicle accident with no injuries,800 E McCarty LN ,Highway or divided highway
3,02/02/2018 16:45:24,Bomb scare - no bomb,1210  Wonder World DR ,Vehicle parking area
2,02/02/2018 17:31:20,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,02/03/2018 1:17:59,Power line down,1646  Aquarena Springs DR ,Restaurant or cafeteria
1,02/03/2018 1:32:44,"EMS call, excluding vehicle accident with injury",1209  Crystal River PKWY ,"Residential street, road or residential driveway"
