Incident Number,Date,Time,Address,Incident Type,Completed,Reviewed
0000257 - 000,1/19/19,16:23:58,205 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000258 - 000,1/19/19,17:00:04,1351 Sadler Dr  # 212A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000259 - 000,1/19/19,17:48:13,1001 Crepe Myrtle Dr  # 2 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000260 - 000,1/19/19,19:03:20,120 Bert Brown Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0000261 - 000,1/19/19,19:12:51,120 Bert Brown Rd ,735 - Alarm system sounded due to malfunction,Yes,Yes
0000262 - 000,1/19/19,19:49:36,North St ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000264 - 000,1/19/19,21:29:05,1600 N IH 35  # 404B ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000265 - 000,1/19/19,22:53:36,127 E Hopkins St  # 120 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000266 - 000,1/20/19,2:15:39,2917 Hunter Rd  # 24 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000267 - 000,1/20/19,2:16:42,1655 Mill St  # 826 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000268 - 000,1/20/19,6:48:01,343 N LBJ Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000269 - 000,1/20/19,8:51:00,503 Springtown Way  # 212 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000270 - 000,1/20/19,9:23:49,On Bracewood Cir  at Burleson St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000272 - 000,1/20/19,10:10:58,130 W Holland St ,412 - Gas leak (natural gas or LPG),Yes,Yes
0000273 - 000,1/20/19,10:45:32,1350 Sadler Dr  # 5202 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000274 - 000,1/20/19,19:40:35,1606 N IH 35  # 93 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000275 - 000,1/20/19,21:10:43,1202 S IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0000276 - 000,1/20/19,22:03:27,616 N Lbj Dr  # 206-200 ,"113 - Cooking fire, confined to container",Yes,Yes
0000277 - 000,1/20/19,22:14:57,400 S LBJ Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000278 - 000,1/20/19,22:48:56,1200 W Hopkins St ,"150 - Outside rubbish fire, other",Yes,Yes
0000279 - 000,1/21/19,1:26:18,1560 S IH 35  # 418 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000280 - 000,1/21/19,6:08:46,1805 N IH 35  # 26G ,611 - Dispatched & cancelled en route,Yes,Yes
0000281 - 000,1/21/19,8:53:00,2220 Garden Ct ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000282 - 000,1/21/19,10:21:06,E Access Rd ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000283 - 000,1/21/19,11:01:01,225 Hopping Peach St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000284 - 000,1/21/19,11:17:35,1340 Wonder World Dr  # 4100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000285 - 000,1/21/19,13:04:58,2119 River Rd ,"500 - Service Call, other",Yes,Yes
0000286 - 000,1/21/19,13:13:08,1210 S IH 35 ,611 - Dispatched & cancelled en route,Yes,Yes
0000287 - 000,1/21/19,16:19:47,204 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000288 - 000,1/21/19,16:33:00,206 SB ,"600 - Good intent call, other",Yes,Yes
0000290 - 000,1/21/19,17:55:37,N Bishop St  # ` ,131 - Passenger vehicle fire,Yes,Yes
0000291 - 000,1/21/19,18:25:25,205 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0000293 - 000,1/21/19,22:15:14,E Hopkins St ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000294 - 000,1/21/19,22:54:36,1101 E River Ridge Pkwy  # 1032 ,"510 - Person in distress, other",Yes,Yes
0000295 - 000,1/22/19,0:33:25,405 N Edward Gary St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000296 - 000,1/22/19,0:34:31,626 Moore St ,551 - Assist police or other governmental agency,Yes,Yes
0000297 - 000,1/22/19,9:09:40,1225 Hwy 123 ,551 - Assist police or other governmental agency,Yes,Yes
0000298 - 000,1/22/19,10:03:02,646 Foxtail Run ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000299 - 000,1/22/19,11:14:50,222 Teron Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0000300 - 000,1/22/19,11:34:27,1301 Hwy 123 ,611 - Dispatched & cancelled en route,Yes,Yes
0000301 - 000,1/22/19,12:20:45,1321 N IH 35  # RM 206 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000302 - 000,1/22/19,12:32:58,1340 Wonder World Dr  # 4100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000303 - 000,1/22/19,12:50:00,641 E Hopkins St  # Bldg 1 ,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes
0000304 - 000,1/22/19,15:08:01,817 Chestnut St ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0000305 - 000,1/22/19,15:23:09,201 Kissing Tree Ln ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000306 - 000,1/22/19,15:54:20,345 Champions Blvd  # 324 ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000308 - 000,1/22/19,17:07:17,3946 S IH 35 ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000309 - 000,1/22/19,17:36:00,Feltner Aly ,611 - Dispatched & cancelled en route,Yes,Yes
0000310 - 000,1/22/19,19:54:56,1720 Old Ranch Road 12  # 100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000311 - 000,1/22/19,20:03:18,1201 Haynes St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000312 - 000,1/22/19,22:25:36,1101 Meredith St ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000313 - 000,1/22/19,22:50:21,Hwy 123 ,611 - Dispatched & cancelled en route,Yes,Yes
0000314 - 000,1/22/19,23:13:57,202 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0000315 - 000,1/22/19,23:19:08,201 NB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000316 - 000,1/23/19,3:26:39,1350 Sadler Dr  # 5202 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000317 - 000,1/23/19,3:34:51,1401 Wonder World Dr  # 12/HALLW ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000318 - 000,1/23/19,7:32:33,1351 Sadler Dr  # 114B ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000319 - 000,1/23/19,8:09:17,141 Coers Dr  # 3 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000320 - 000,1/23/19,11:50:58,600 Leah Ave  # 400 ,611 - Dispatched & cancelled en route,Yes,Yes
0000321 - 000,1/23/19,12:50:27,208 Ebony St ,611 - Dispatched & cancelled en route,Yes,Yes
0000322 - 000,1/23/19,13:13:24,1805 Peter Garza St ,412 - Gas leak (natural gas or LPG),Yes,Yes
0000323 - 000,1/23/19,13:33:39,706 Barbara Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000324 - 000,1/23/19,13:54:58,209 N IH 35 ,132 - Road freight or transport vehicle fire,Yes,Yes
0000325 - 000,1/23/19,14:17:35,627 N Lbj Dr  # 114 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000326 - 000,1/23/19,14:25:09,On E Access Rd  at Rebecca St ,322 - Vehicle accident with injuries,Yes,Yes
0000327 - 000,1/23/19,16:30:05,213 Nb ,551 - Assist police or other governmental agency,Yes,Yes
0000329 - 000,1/23/19,18:17:38,On E Hopkins St  at Charles Austi n Dr,"600 - Good intent call, other",Yes,Yes
0000330 - 000,1/23/19,23:52:18,309 Newberry Trl ,553 - Public service,Yes,Yes
0000331 - 000,1/24/19,0:05:27,700 S LBJ Dr ,551 - Assist police or other governmental agency,Yes,Yes
0000333 - 000,1/24/19,3:23:07,On Industrial Fork  at W Access R d,611 - Dispatched & cancelled en route,Yes,Yes
0000334 - 000,1/24/19,4:22:14,1321 N IH 35  # 227 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000335 - 000,1/24/19,7:39:09,Robbie Ln ,553 - Public service,Yes,Yes
0000336 - 000,1/24/19,8:57:59,1301 Hwy 123 ,551 - Assist police or other governmental agency,Yes,Yes
0000337 - 000,1/24/19,9:52:34,1720 Old Ranch Road 12  # 210 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000338 - 000,1/24/19,13:08:35,300 N LBJ Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000340 - 000,1/24/19,14:10:53,1900 Medical Pkwy ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000341 - 000,1/24/19,16:16:10,123 Cedargrove ,"113 - Cooking fire, confined to container",Yes,Yes
0000342 - 000,1/24/19,16:41:59,1350 N LBJ Dr  # 316 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000343 - 000,1/24/19,16:44:38,1071 Wonder World Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000344 - 000,1/24/19,18:11:29,2005 Technology Way ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000345 - 000,1/24/19,18:47:50,4310 Trail Ridge Pass ,"600 - Good intent call, other",Yes,Yes
0000346 - 000,1/24/19,19:57:02,158 Cazador Dr ,"672 - Biological hazard investigation, none found",Yes,Yes
0000347 - 000,1/25/19,0:43:31,1401 Wonder World Dr  # 305 ,611 - Dispatched & cancelled en route,Yes,Yes
0000348 - 000,1/25/19,7:47:41,1103 Hwy 80 ,322 - Vehicle accident with injuries,Yes,Yes
0000349 - 000,1/25/19,9:35:40,2600 Hunter Rd  # 3302 ,611 - Dispatched & cancelled en route,Yes,Yes
0000350 - 000,1/25/19,11:07:16,110 Willow Springs Dr  # 102 ,611 - Dispatched & cancelled en route,Yes,Yes
0000351 - 000,1/25/19,12:00:57,1201 Thorpe Ln  # 176 ,611 - Dispatched & cancelled en route,Yes,Yes
0000352 - 000,1/25/19,12:07:17,1201 Thorpe Ln  # OFFICE ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000353 - 000,1/25/19,12:47:32,605 Bracewood Cir  # B ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000354 - 000,1/25/19,16:14:55,2300 S IH 35  # LOBBY ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000355 - 000,1/25/19,16:41:23,1320 Wonder World Dr  # 101 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000356 - 000,1/25/19,16:42:06,500 Parker Dr  # 122 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000357 - 000,1/25/19,20:41:53,1001 E McCarty Ln  # PLOT ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000358 - 000,1/25/19,22:35:21,Hunter Rd ,352 - Extrication of victim(s) from vehicle,Yes,Yes
0000359 - 000,1/25/19,23:49:48,1800 Post Rd  # 718 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000360 - 000,1/26/19,0:16:20,1508 Clyde St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000361 - 000,1/26/19,1:36:26,1975 Aquarena Springs Dr  # 723 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000364 - 000,1/26/19,9:05:04,1720 Old Ranch Road 12  # 224 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000365 - 000,1/26/19,9:34:13,1800 Post Rd ,551 - Assist police or other governmental agency,Yes,Yes
0000366 - 000,1/26/19,11:36:01,300 N LBJ Dr ,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes
0000367 - 000,1/26/19,13:07:55,202 SB ,551 - Assist police or other governmental agency,Yes,Yes
0000368 - 000,1/26/19,15:29:23,1348 Thorpe Ln  # 202 ,611 - Dispatched & cancelled en route,Yes,Yes
0000370 - 000,1/26/19,23:27:30,1250 Sadler Dr  # 333B ,611 - Dispatched & cancelled en route,Yes,Yes
0000371 - 000,1/27/19,1:23:59,326 Bandera St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000372 - 000,1/27/19,1:34:29,1401 Wonder World Dr  # 13 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000373 - 000,1/27/19,1:59:09,1975 Aquarena Springs Dr  # 1014 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000374 - 000,1/27/19,2:10:47,On University Dr  at N C M Allen Pkwy,324 - Motor vehicle accident with no injuries,Yes,Yes
0000375 - 000,1/27/19,3:48:11,104 Laurel Rdg ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000376 - 000,1/27/19,7:15:34,534 Iris ,121 - Fire in mobile home used as fixed residence,Yes,Yes
0000377 - 000,1/27/19,8:32:00,1013 Dailey St ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000378 - 000,1/27/19,9:13:54,1807 Airport Dr ,462 - Aircraft standby,Yes,Yes
0000379 - 000,1/27/19,11:05:13,511 Lindsey St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000380 - 000,1/27/19,11:16:04,700 Barnes Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000381 - 000,1/27/19,11:39:54,1050 McKinley Place Dr  # 280 ,"745 - Alarm system sounded, no fire - unintentional",Yes,Yes
0000382 - 000,1/27/19,12:56:44,703 Academy St  # LOBBY ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000383 - 000,1/27/19,13:18:46,1350 Sadler Dr  # 5202 ,554 - Assist invalid,Yes,Yes
0000384 - 000,1/27/19,13:24:21,3939 S IH 35  # 1105 ,611 - Dispatched & cancelled en route,Yes,Yes
0000386 - 000,1/27/19,15:00:10,504 Burleson St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000387 - 000,1/27/19,15:14:15,323 N Comanche St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000388 - 000,1/27/19,15:16:10,1321 N IH 35  # 233 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000390 - 000,1/27/19,19:44:10,1500 S IH 35 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000392 - 000,1/27/19,20:48:14,Hwy 123 ,322 - Vehicle accident with injuries,Yes,Yes
0000393 - 000,1/27/19,20:54:00,134 Tallow Trl ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000394 - 000,1/28/19,7:07:37,101 Uhland Rd ,611 - Dispatched & cancelled en route,Yes,Yes
0000395 - 000,1/28/19,7:56:23,1104 Columbia Ave  # A ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000396 - 000,1/28/19,8:32:55,1631 Aquarena Springs Dr  # 601 ,611 - Dispatched & cancelled en route,Yes,Yes
0000397 - 000,1/28/19,9:18:39,1754 River Rd  # 222 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000398 - 000,1/28/19,9:24:18,708 N Comanche St  # 126 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000399 - 000,1/28/19,9:59:17,702 Tomas Rivera Dr  # 814B ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000401 - 000,1/28/19,12:01:19,207 SB ,553 - Public service,Yes,Yes
0000403 - 000,1/28/19,13:51:22,1290 Wonder World Dr  # 1100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000405 - 000,1/28/19,18:55:08,N Guadalupe St ,622 - No incident found on arrival at dispatch address,Yes,Yes
0000406 - 000,1/28/19,21:43:57,1415 Craddock Ave  # 1108 ,611 - Dispatched & cancelled en route,Yes,Yes
0000407 - 000,1/28/19,21:49:50,1340 Wonder World Dr  # 4100 ,611 - Dispatched & cancelled en route,Yes,Yes
0000408 - 000,1/28/19,22:05:35,Knox St ,444 - Power line down,Yes,Yes
0000409 - 000,1/28/19,22:07:23,Uhland Rd ,551 - Assist police or other governmental agency,Yes,Yes
0000410 - 000,1/28/19,22:47:49,300 S Stagecoach Trl  # 1108 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000411 - 000,1/29/19,6:08:06,1321 N IH 35  # 152 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000412 - 000,1/29/19,7:11:43,1720 Old Ranch Road 12  # A106 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000413 - 000,1/29/19,7:46:54,103 Laurel Rdg ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000414 - 000,1/29/19,8:11:31,On Thorpe Ln  at Aquarena Springs Dr,322 - Vehicle accident with injuries,Yes,Yes
0000416 - 000,1/29/19,10:24:21,On Hines St  at Patton St ,911 - Citizen complaint,Yes,Yes
0000419 - 000,1/29/19,13:05:13,2601 Rattler Rd  # 404 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000420 - 000,1/29/19,13:20:32,1600 Old Ranch Road 12 ,413 - Oil or other combustible liquid spill,Yes,Yes
0000421 - 000,1/29/19,14:28:54,1251 Sadler Dr  # 2100 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000422 - 000,1/29/19,14:52:38,On E Hopkins St  at W Access Rd ,131 - Passenger vehicle fire,Yes,Yes
0000423 - 000,1/29/19,16:19:39,301 E Woods St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000424 - 000,1/29/19,16:46:14,909 Haynes St ,"550 - Public service assistance, other",Yes,Yes
0000425 - 000,1/29/19,18:01:45,720 N IH 35 ,"600 - Good intent call, other",Yes,Yes
0000426 - 000,1/29/19,18:36:26,210 N Edward Gary St  # 531A ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000427 - 000,1/29/19,18:41:30,700 Barnes Dr ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000428 - 000,1/29/19,18:52:10,204 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0000429 - 000,1/29/19,21:26:52,EXIT 201 SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000430 - 000,1/29/19,21:30:18,On Thorpe Ln  at Aquarena Springs Dr,322 - Vehicle accident with injuries,Yes,Yes
0000431 - 000,1/30/19,5:52:33,1617 Post Rd  # 316 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000433 - 000,1/30/19,10:59:36,205 Hoya Ln ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000434 - 000,1/30/19,11:06:00,1506 S IH 35  # 813 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000435 - 000,1/30/19,12:35:51,1005 Hwy 80 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000436 - 000,1/30/19,13:25:50,515 Springtown Way ,412 - Gas leak (natural gas or LPG),Yes,Yes
0000437 - 000,1/30/19,13:32:31,1629 Post Rd  # 5230 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000438 - 000,1/30/19,13:55:27,301 Student Center Dr ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000439 - 000,1/30/19,14:32:44,1321 N IH 35  # 152 ,"320 - Emergency medical service, other",Yes,Yes
0000440 - 000,1/30/19,14:59:15,W Hopkins St ,131 - Passenger vehicle fire,Yes,Yes
0000442 - 000,1/30/19,17:25:45,118 Seguin St  # 609 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000443 - 000,1/30/19,17:48:11,2020 Nevada St ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000444 - 000,1/30/19,20:16:41,619 S Guadalupe St ,"460 - Accident, potential accident, other",Yes,Yes
0000445 - 000,1/30/19,20:22:57,639 E Hopkins St ,611 - Dispatched & cancelled en route,Yes,Yes
0000446 - 000,1/30/19,21:19:04,345 Champions Blvd  # 114 ,"311 - Medical assist, assist EMS crew",Yes,Yes
0000447 - 000,1/31/19,6:36:38,1951 Aquarena Springs Dr  # 9204 ,111R - Building fire - Residential,Yes,Yes
0000448 - 000,1/31/19,13:36:18,105 Pickard St  # 328 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000449 - 000,1/31/19,15:13:59,1351 Sadler Dr  # 408 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000450 - 000,1/31/19,16:22:07,W Hopkins St ,323 - Motor vehicle/pedestrian accident (MV Ped),Yes,Yes
0000451 - 000,1/31/19,18:20:40,1303 S IH 35  # 201 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000452 - 000,1/31/19,19:37:55,1115 San Marcos Pkwy  # B ,"651 - Smoke scare, odor of smoke",Yes,Yes
0000453 - 000,1/31/19,20:48:50,1720 Old Ranch Road 12  # 224 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000454 - 000,1/31/19,21:18:02,1655 Mill St  # 1123 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000455 - 000,1/31/19,21:20:32,503 Uhland Rd  # 1 ,611 - Dispatched & cancelled en route,Yes,Yes
0000456 - 000,1/31/19,21:55:46,1015 Hwy 80 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000457 - 000,2/1/19,1:44:28,1900 Aquarena Springs Dr  # 102 ,"743 - Smoke detector activation, no fire - unintentional",Yes,Yes
0000458 - 000,2/1/19,7:19:45,202 Old Main Dr  # DOCK ,422 - Chemical spill or leak,Yes,Yes
0000459 - 000,2/1/19,9:59:27,155 Wonder World Dr  # 1 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000460 - 000,2/1/19,15:40:26,325 E Hopkins St ,511 - Lock-out,Yes,Yes
0000461 - 000,2/1/19,17:59:12,EXIT 204A SB ,611 - Dispatched & cancelled en route,Yes,Yes
0000462 - 000,2/1/19,18:20:42,1951 Hunter Rd  # 16103 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000464 - 000,2/1/19,18:55:09,EXIT 204B SB ,324 - Motor vehicle accident with no injuries,Yes,Yes
0000465 - 000,2/1/19,20:40:14,1001 Crepe Myrtle Dr  # 8 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000466 - 000,2/2/19,2:39:28,1600 N IH 35  # 115 ,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes
0000467 - 000,2/2/19,4:36:24,1900 Aquarena Springs Dr ,611 - Dispatched & cancelled en route,Yes,Yes
0000469 - 000,2/2/19,12:13:45,213 NB ,611 - Dispatched & cancelled en route,Yes,Yes
0000470 - 000,2/2/19,13:35:48,300 S Stagecoach Trl  # 3108 ,611E - EMS: Dispatched & cancelled en route,Yes,Yes
0000471 - 000,2/2/19,13:59:14,114 Sageleaf Willow Dr ,733 - Smoke detector activation due to malfunction,Yes,Yes
